0,District,City,Latitude,Longitude
1,New Delhi,Delhi,28.630950927734375,77.21727752685547
2,North Delhi,Delhi,28.634109497070312,77.21691131591797
3,North West Delhi,Delhi,28.696399688720703,77.1270980834961
4,West Delhi,Delhi,28.634109497070312,77.21691131591797
5,South West Delhi,Delhi,28.57082176208496,77.01878356933594
6,South Delhi,Delhi,28.554899215698242,77.19190216064453
7,South East Delhi,Delhi,28.60955047607422,77.1396713256836
8,Central Delhi,Delhi,28.645000457763672,77.24500274658203
9,North East Delhi,Delhi,28.693599700927734,77.30729675292969
10,Shahdara,Delhi,28.689590454101562,77.27802276611328
11,East Delhi,Delhi,28.639999389648438,77.29000091552734
