,Village,Block,District,Latitude,Longitude
0,Agartoli,Angara,Ranchi,23.376190185546875,85.43927764892578
1,Angara,Angara,Ranchi,23.376190185546875,85.43927764892578
2,Asri,Angara,Ranchi,23.357210159301758,85.66690063476562
3,Badri,Angara,Ranchi,23.43267059326172,85.63327026367188
4,Baheya,Angara,Ranchi,23.370399475097656,85.48793029785156
5,Bakshidih,Angara,Ranchi,23.376190185546875,85.43927764892578
6,Banpur,Angara,Ranchi,23.334060668945312,85.52617645263672
7,Barkigorang,Angara,Ranchi,23.426820755004883,85.57050323486328
8,Barwadag,Angara,Ranchi,23.360689163208008,85.68608093261719
9,Benadag,Angara,Ranchi,23.376190185546875,85.43927764892578
10,Berwari,Angara,Ranchi,23.39995002746582,85.47669219970703
11,Beti(Benti),Angara,Ranchi,23.40806007385254,85.60739135742188
12,Bisa,Angara,Ranchi,23.39533042907715,85.5613784790039
13,Bongaibera,Angara,Ranchi,23.361560821533203,85.51692199707031
14,Buki,Angara,Ranchi,23.431089401245117,85.56249237060547
15,Burhibera,Angara,Ranchi,23.34627914428711,85.49939727783203
16,Chaldag,Angara,Ranchi,23.376190185546875,85.43927764892578
17,Chatra,Angara,Ranchi,23.376190185546875,85.43927764892578
18,Cheldagsoso,Angara,Ranchi,23.4094295501709,85.4936294555664
19,Dahua,Angara,Ranchi,23.381860733032227,85.61872100830078
20,Dhurleta,Angara,Ranchi,23.387550354003906,85.5733413696289
21,Dimra,Angara,Ranchi,23.398929595947266,85.6530532836914
22,Dokad,Angara,Ranchi,23.385700225830078,85.61662292480469
23,Dumargarhi,Angara,Ranchi,23.341289520263672,85.65991973876953
24,Getalsud,Angara,Ranchi,23.376190185546875,85.43927764892578
25,Guridih,Angara,Ranchi,23.359220504760742,85.61184692382812
26,Gutidih,Angara,Ranchi,23.399869918823242,85.66545104980469
27,Hahe,Angara,Ranchi,23.378610610961914,85.4938735961914
28,Hapatbera,Angara,Ranchi,23.346569061279297,85.59272003173828
29,Haratu,Angara,Ranchi,23.47825050354004,85.59893035888672
30,Hesal,Angara,Ranchi,23.399539947509766,85.46569061279297
31,Hesatu,Angara,Ranchi,23.462200164794922,85.60974884033203
32,Heslabera,Angara,Ranchi,23.35024070739746,85.56503295898438
33,Hundru,Angara,Ranchi,23.437719345092773,85.68135070800781
34,Id,Angara,Ranchi,23.376190185546875,85.43927764892578
35,Ikarhatu,Angara,Ranchi,23.376220703125,85.65599060058594
36,Jamuari,Angara,Ranchi,23.376190185546875,85.43927764892578
37,Janum,Angara,Ranchi,23.397279739379883,85.50834655761719
38,Jaradih,Angara,Ranchi,23.374309539794922,85.6528091430664
39,Jaratoli,Angara,Ranchi,23.368440628051758,85.60845947265625
40,Jarga,Angara,Ranchi,23.32408905029297,85.57041931152344
41,Jaspur,Angara,Ranchi,29.28318977355957,78.8254623413086
42,Jidu,Angara,Ranchi,23.343650817871094,85.59638214111328
43,Jonha,Angara,Ranchi,23.376190185546875,85.43927764892578
44,Kamta,Angara,Ranchi,23.399219512939453,85.62490844726562
45,Kashidih,Angara,Ranchi,23.363100051879883,85.64186096191406
46,Koynardih,Angara,Ranchi,23.332250595092773,85.61537170410156
47,Kuchu,Angara,Ranchi,23.42616081237793,85.6524429321289
