,Neighborhood,City,Latitude,Longitude
0,Red Hills,Chennai,13.195429801940918,80.1843032836914
1,Ayanavaram,Chennai,13.098830223083496,80.23238372802734
2,Royapuram,Chennai,13.113960266113281,80.29421997070312
3,Korukkupet,Chennai,13.116800308227539,80.27729797363281
4,Vyasarpadi,Chennai,13.117779731750488,80.25167846679688
5,Tondiarpet,Chennai,13.129229545593262,80.2895278930664
6,Tiruvottiyur,Chennai,13.171210289001465,80.3051528930664
7,Ennore,Chennai,13.253129959106445,80.32215118408203
8,Minjur,Chennai,13.27853012084961,80.26139068603516
9,Old Washermenpet,Chennai,13.109829902648926,80.28099822998047
10,Madhavaram,Chennai,13.150429725646973,80.2341537475586
11,Manali New Town,Chennai,13.208027839660645,80.2715835571289
12,Naravarikuppam,Chennai,13.202569961547852,80.1654281616211
13,Sowcarpet,Chennai,13.090999603271484,80.28343200683594
14,Puzhal,Chennai,13.169719696044922,80.20722198486328
15,Moolakadai,Chennai,13.132369995117188,80.2399673461914
16,Central,Chennai,13.10821,80.18347
17,Kodungaiyur,Chennai,13.136619567871094,80.24476623535156
18,Madhavaram Milk Colony,Chennai,13.149999618530273,80.23999786376953
19,Mathur MMDA,Chennai,13.083620071411133,80.28251647949219
20,Kolathur,Chennai,13.131839752197266,80.19924926757812
21,Parry's Corner,Chennai,13.085439682006836,80.28373718261719
22,Purasawalkam,Chennai,13.083149909973145,80.26236724853516
23,Perambur,Chennai,13.114819526672363,80.24015808105469
24,Manali,Chennai,13.16864013671875,80.2722396850586
25,Vallalar Nagar,Chennai,13.135689735412598,80.13417053222656
26,New Washermenpet,Chennai,13.08388900756836,80.2699966430664
27,Mannadi,Chennai,13.100879669189453,80.29380798339844
28,George Town,Chennai,13.098030090332031,80.29051208496094
29,Basin Bridge,Chennai,13.098259925842285,80.2683334350586
30,Park Town,Chennai,13.078669548034668,80.27957153320312
31,Periametu,Chennai,13.087080001831055,80.2697982788086
32,Choolai,Chennai,13.090239524841309,80.26557159423828
33,Veppery,Chennai,13.099459648132324,80.27366638183594
34,Pattalam,Chennai,13.097000122070312,80.25923919677734
35,Pulinanthope,Chennai,13.103170394897461,80.26538848876953
36,M.K.B Nagar,Chennai,13.125789642333984,80.25811767578125
37,Selavoyal,Chennai,13.142999649047852,80.24935913085938
38,Manjambakkam,Chennai,13.163800239562988,80.22969055175781
39,Ponniammanmedu,Chennai,13.137709617614746,80.22199249267578
40,Sembiam,Chennai,13.123616218566895,80.2421646118164
41,T.V.K Nagar,Chennai,13.077987670898438,80.24006652832031
42,ICF Colony,Chennai,12.974720001220703,80.12957763671875
43,Lakshmipuram,Chennai,13.130379676818848,80.20745086669922
44,Oragadam,Chennai,13.163339614868164,80.15505981445312
45,Ayapakkam,Chennai,13.093130111694336,80.14069366455078
46,Pattravakkam,Chennai,13.023273468017578,80.19489288330078
47,Thirumullaivoyal north,Chennai,13.083620071411133,80.28251647949219
48,Avadi,Chennai,13.129059791564941,80.10357666015625
49,Kathivakkam,Chennai,13.199560165405273,80.31593322753906
50,Kodambakkam,Chennai,13.051440238952637,80.22442626953125
51,Kathirvedu,Chennai,13.14249038696289,80.20195770263672
52,Erukanchery,Chennai,13.083620071411133,80.28251647949219
53,Broadway,Chennai,13.094160079956055,80.28539276123047
54,Jamalia,Chennai,13.102269172668457,80.25057220458984
55,Kallikuppam,Chennai,13.129719734191895,80.18299865722656
56,Pattabiram,Chennai,13.121259689331055,80.0639877319336
57,Kosapet,Chennai,13.09451961517334,80.25482940673828
58,Villivakkam,Chennai,13.104809761047363,80.20600128173828
59,Porur,Chennai,13.030289649963379,80.17018127441406
60,Anna Nagar,Chennai,13.083490371704102,80.21009826660156
61,Aminjikarai,Chennai,13.071390151977539,80.2225570678711
62,Ambattur,Chennai,13.114795684814453,80.15577697753906
63,Defence Colony,Chennai,13.025979995727539,80.2001724243164
64,Padi,Chennai,13.097550392150879,80.186767578125
65,Ayappakkam.,Chennai,13.093130111694336,80.14069366455078
66,Korattur,Chennai,13.108189582824707,80.18357849121094
67,Mogappair,Chennai,13.080490112304688,80.16116333007812
68,Arumbakkam,Chennai,13.07310962677002,80.20954132080078
69,Avadi,Chennai,13.129059791564941,80.10357666015625
70,Pudur,Chennai,13.130880355834961,80.16358947753906
71,Maduravoyal,Chennai,13.057999610900879,80.16634368896484
72,Koyambedu,Chennai,13.066060066223145,80.19705963134766
73,Ashok Nagar,Chennai,13.035280227661133,80.2121810913086
74,KK Nagar,Chennai,13.039039611816406,80.19866943359375
75,Karambakkam,Chennai,13.03699016571045,80.15641784667969
76,Vadapalani,Chennai,13.05228042602539,80.21119689941406
77,Saligramam,Chennai,13.054789543151855,80.20113372802734
78,Virugambakkam,Chennai,13.055879592895508,80.19349670410156
79,Alwarthirunagar,Chennai,13.050649642944336,80.18488311767578
80,Valasaravakkam,Chennai,13.04148006439209,80.1715316772461
81,Thirunindravur,Chennai,13.125100135803223,80.04209899902344
82,Thirumangalam,Chennai,13.082810401916504,80.19702911376953
83,Thirumullaivayal,Chennai,13.10212,80.17473
84,Thiruverkadu,Chennai,13.070340156555176,80.1213607788086
85,Nandambakkam,Chennai,13.01764965057373,80.191162109375
86,Nerkundrum,Chennai,13.067319869995117,80.18286895751953
87,Nesapakkam,Chennai,13.035189628601074,80.1917724609375
88,Nolambur,Chennai,13.076069831848145,80.17173767089844
89,Ramapuram,Chennai,13.0316801071167,80.18113708496094
90,Mugalivakkam,Chennai,13.018950462341309,80.16812896728516
91,Mangadu,Chennai,13.027017593383789,80.11072540283203
92,M.G.R Nagar,Chennai,13.030989646911621,80.1146469116211
93,M.G.R Garden,Chennai,13.083620071411133,80.28251647949219
94,Alapakkam,Chennai,12.896809577941895,80.11183166503906
95,Poonamallee,Chennai,13.051630020141602,80.11264038085938
96,Mowlivakkam,Chennai,13.021690368652344,80.14430236816406
97,Gerugambakkam,Chennai,13.020132064819336,80.14811706542969
98,MMDA Colony,Chennai,13.068360328674316,80.21333312988281
99,Thirumazhisai,Chennai,13.052669525146484,80.06671905517578
