,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Red Hills,13.195429801940918,80.1843032836914,Hotel Balaji Bavan,13.193715906488812,80.18529155661071,Indian Restaurant
1,Red Hills,13.195429801940918,80.1843032836914,Radha Movie Park,13.193263714661102,80.18341710302613,Multiplex
2,Red Hills,13.195429801940918,80.1843032836914,Rock Gym,13.194851554432818,80.18673551168953,Gym
3,Red Hills,13.195429801940918,80.1843032836914,Redhills anna bus stand,13.19287083190709,80.18500276266437,Bus Station
4,Red Hills,13.195429801940918,80.1843032836914,Naturals,13.191494,80.185965,Spa
5,Red Hills,13.195429801940918,80.1843032836914,Lakshmi Theatre,13.18989435433166,80.1887583732605,Multiplex
6,Ayanavaram,13.098830223083494,80.23238372802734,Nilgiris,13.097600532705346,80.23741645644962,Department Store
7,Ayanavaram,13.098830223083494,80.23238372802734,Shri Gopikrishna Theatre,13.095078814101363,80.22742319454291,Indie Movie Theater
8,Ayanavaram,13.098830223083494,80.23238372802734,ibaco,13.097474849078617,80.2400139674887,Ice Cream Shop
9,Ayanavaram,13.098830223083494,80.23238372802734,Heritage Fresh,13.095915794372559,80.24092102050781,Department Store
10,Royapuram,13.11396026611328,80.29421997070312,Domino's Pizza,13.10942,80.291595,Pizza Place
11,Royapuram,13.11396026611328,80.29421997070312,Ibaco,13.115612341395995,80.29483718712652,Dessert Shop
12,Royapuram,13.11396026611328,80.29421997070312,Pizza Corner,13.115436723454945,80.29260053297244,Pizza Place
13,Royapuram,13.11396026611328,80.29421997070312,Indıan (Chennai),13.115176636205046,80.29188217892936,Pier
14,Royapuram,13.11396026611328,80.29421997070312,Anna Park Auditorum,13.115233782010302,80.29118558735802,Park
15,Royapuram,13.11396026611328,80.29421997070312,Magic Kebab,13.109537,80.294464,Indian Restaurant
16,Royapuram,13.11396026611328,80.29421997070312,Green Trends Hair And Style Salon,13.10861254550437,80.29196977615356,Spa
17,Royapuram,13.11396026611328,80.29421997070312,MILKY Way Royapuram,13.10838444984674,80.29166993679327,Ice Cream Shop
18,Royapuram,13.11396026611328,80.29421997070312,Adyar Ananda Bhavan,13.108313747484864,80.29152299961753,Indian Restaurant
19,Royapuram,13.11396026611328,80.29421997070312,Kunhiraman's,13.10639523411195,80.29346037296293,Convenience Store
20,Korukkupet,13.116800308227539,80.27729797363281,Korukkupettai rail station,13.120302548640954,80.27846633979973,Train Station
21,Korukkupet,13.116800308227539,80.27729797363281,veeras collection,13.118800008469128,80.28291312353814,Boutique
22,Korukkupet,13.116800308227539,80.27729797363281,Maharani Theater,13.117418,80.284211,Indie Movie Theater
23,Korukkupet,13.116800308227539,80.27729797363281,Adayar Ananda Bhavan,13.118110240209175,80.28448059989384,Vegetarian / Vegan Restaurant
24,Korukkupet,13.116800308227539,80.27729797363281,Idli Vilas,13.117964457967243,80.28502821922302,Vegetarian / Vegan Restaurant
25,Vyasarpadi,13.117779731750488,80.25167846679688,Wangs Kitchen,13.115748735898176,80.2459220562305,Chinese Restaurant
26,Vyasarpadi,13.117779731750488,80.25167846679688,Fox,13.115995407104492,80.24535369873047,Pizza Place
27,Vyasarpadi,13.117779731750488,80.25167846679688,Reliance Fresh,13.121285081717863,80.25854819594106,Department Store
28,Vyasarpadi,13.117779731750488,80.25167846679688,uae exchange India-Perambur,13.124494912180278,80.24566948413847,Currency Exchange
29,Tondiarpet,13.129229545593262,80.2895278930664,N4,13.134207532571773,80.28741953973959,Beach
30,Tondiarpet,13.129229545593262,80.2895278930664,Seniammam Kovil,13.123040320493075,80.28679366296423,Historic Site
31,Tondiarpet,13.129229545593262,80.2895278930664,Fishing Harbour,13.130157981574548,80.29703378677368,Harbor / Marina
32,Tondiarpet,13.129229545593262,80.2895278930664,Tondiarpet railway station,13.128994885729005,80.28096462284161,Platform
33,Tiruvottiyur,13.171210289001465,80.3051528930664,Arambagh Food Mart,13.163621354238668,80.30490955968995,Convenience Store
34,Tiruvottiyur,13.171210289001465,80.3051528930664,Thiruvottiyur Bus Terminus,13.163217180319041,80.30370159139586,Bus Station
35,Tiruvottiyur,13.171210289001465,80.3051528930664,Axis Bank ATM,13.17794,80.31107,ATM
36,Tiruvottiyur,13.171210289001465,80.3051528930664,Wimco nagar,13.180099990446008,80.30569853865488,Train Station
37,Minjur,13.27853012084961,80.26139068603516,Minjur,13.277504148103645,80.26011067932014,Scenic Lookout
38,Minjur,13.27853012084961,80.26139068603516,Sathya Sai mobiles,13.27822632603601,80.25998175144196,Electronics Store
39,Minjur,13.27853012084961,80.26139068603516,Minjur Railway Station,13.281331946095959,80.26026311518088,Train Station
40,Minjur,13.27853012084961,80.26139068603516,Mercury Achagam,13.2758,80.2666,Paper / Office Supplies Store
41,Old Washermenpet,13.109829902648926,80.28099822998047,Big Bazaar,13.1095865467695,80.28439351863636,Department Store
42,Old Washermenpet,13.109829902648926,80.28099822998047,Vallalar Nagar Bus Terminus,13.104994523365168,80.27780229573065,Bus Station
43,Old Washermenpet,13.109829902648926,80.28099822998047,M.C.Road,13.113349533266302,80.28845358686763,Women's Store
44,Old Washermenpet,13.109829902648926,80.28099822998047,Adayar Ananda Bhavan,13.118110240209175,80.28448059989384,Vegetarian / Vegan Restaurant
45,Madhavaram,13.150429725646973,80.2341537475586,Aavin Milk Booth,13.150098419425762,80.23240091166083,Food & Drink Shop
46,Madhavaram,13.150429725646973,80.2341537475586,Axis Bank ATM,13.1478,80.23131,ATM
47,Madhavaram,13.150429725646973,80.2341537475586,I'm Lost,13.149481331682182,80.23840754969869,Moving Target
48,Madhavaram,13.150429725646973,80.2341537475586,Madavaram New Bus Stand,13.151254329104487,80.22810397174743,Bus Station
49,Madhavaram,13.150429725646973,80.2341537475586,Ilaneer kadai,13.145436,80.23975,Juice Bar
50,Sowcarpet,13.090999603271484,80.28343200683594,Kakada Ramprasad,13.090415399815164,80.27911076464765,Indian Restaurant
51,Sowcarpet,13.090999603271484,80.28343200683594,Burma Bazaar,13.08890366314553,80.28991755827279,Video Store
52,Sowcarpet,13.090999603271484,80.28343200683594,Parrys,13.088421590690437,80.28328322474236,Market
53,Sowcarpet,13.090999603271484,80.28343200683594,Murugan Idli Shop,13.088824190710326,80.28784232861653,Asian Restaurant
54,Sowcarpet,13.090999603271484,80.28343200683594,Reliance Fresh,13.094054748562284,80.27958213981825,Department Store
55,Sowcarpet,13.090999603271484,80.28343200683594,Evening bazaar,13.085633208926515,80.28226544253332,Convenience Store
56,Sowcarpet,13.090999603271484,80.28343200683594,Dindigul Thalappakatti Biriyani Restaurant,13.08852757749359,80.28999919161954,Indian Restaurant
57,Sowcarpet,13.090999603271484,80.28343200683594,Burma Food,13.092284245420961,80.29086994241166,Fast Food Restaurant
58,Sowcarpet,13.090999603271484,80.28343200683594,Chennai Port,13.0854794158517,80.2900264027176,Harbor / Marina
59,Puzhal,13.169719696044922,80.20722198486328,MedPlus,13.17135,80.20046,Pharmacy
60,Moolakadai,13.132369995117188,80.2399673461914,Starbucks,13.130024662931337,80.24212132373013,Coffee Shop
61,Moolakadai,13.132369995117188,80.2399673461914,Amazing munnar tourism,13.131399242263608,80.24317932122358,Tourist Information Center
62,Moolakadai,13.132369995117188,80.2399673461914,Teflon Fitness,13.127268718212644,80.241734706735,Gym
63,Moolakadai,13.132369995117188,80.2399673461914,Crunchy Fried Chicken,13.12622985524566,80.24154956557877,Burger Joint
64,Moolakadai,13.132369995117188,80.2399673461914,Glass Store,13.128104872791512,80.24569362401962,Asian Restaurant
65,Central,13.10821,80.18347,Apollo Pharmacy,13.108479,80.18329,Pharmacy
66,Central,13.10821,80.18347,Sharjah Juice Shop,13.110558331109209,80.18328087659783,Dessert Shop
67,Central,13.10821,80.18347,Thalapa Kattu Biriyani,13.112894024037,80.18004952201255,Indian Restaurant
68,Central,13.10821,80.18347,sellandbuy,13.100211194785802,80.18550753593445,Business Service
69,Kodungaiyur,13.136619567871096,80.24476623535156,Starbucks,13.130024662931337,80.24212132373013,Coffee Shop
70,Kodungaiyur,13.136619567871096,80.24476623535156,French Loaf,13.141224757886691,80.2447894775255,Bakery
71,Kodungaiyur,13.136619567871096,80.24476623535156,Amazing munnar tourism,13.131399242263608,80.24317932122358,Tourist Information Center
72,Kodungaiyur,13.136619567871096,80.24476623535156,Glass Store,13.128104872791512,80.24569362401962,Asian Restaurant
73,Madhavaram Milk Colony,13.149999618530273,80.23999786376953,I'm Lost,13.149481331682182,80.23840754969869,Moving Target
74,Madhavaram Milk Colony,13.149999618530273,80.23999786376953,CEELAM Bakers & Sweets,13.149024827344947,80.245127074682,Bakery
75,Madhavaram Milk Colony,13.149999618530273,80.23999786376953,Common Man Self Help Group,13.149781805171687,80.24555817246437,IT Services
76,Madhavaram Milk Colony,13.149999618530273,80.23999786376953,Axis Bank ATM,13.154795646668,80.247062683105,ATM
77,Madhavaram Milk Colony,13.149999618530273,80.23999786376953,Axis Bank ATM,13.1478,80.23131,ATM
78,Mathur MMDA,13.083620071411133,80.28251647949219,Kakada Ramprasad,13.090415399815164,80.27911076464765,Indian Restaurant
79,Mathur MMDA,13.083620071411133,80.28251647949219,Fort Museum,13.080618432998454,80.2877188704723,Museum
80,Mathur MMDA,13.083620071411133,80.28251647949219,Hotel Buhari,13.081525548560517,80.27428604106164,Indian Restaurant
81,Mathur MMDA,13.083620071411133,80.28251647949219,French Loaf,13.083778760487695,80.2752549307981,Sandwich Place
82,Mathur MMDA,13.083620071411133,80.28251647949219,Higginbothams,13.08318961077487,80.27516784004308,Bookstore
83,Mathur MMDA,13.083620071411133,80.28251647949219,Burma Bazaar,13.08890366314553,80.28991755827279,Video Store
84,Mathur MMDA,13.083620071411133,80.28251647949219,Hotel Saravana Bhavan,13.082935395914943,80.27503183122415,Vegetarian / Vegan Restaurant
85,Mathur MMDA,13.083620071411133,80.28251647949219,Parrys,13.088421590690437,80.28328322474236,Market
86,Mathur MMDA,13.083620071411133,80.28251647949219,Murugan Idli Shop,13.088824190710326,80.28784232861653,Asian Restaurant
87,Mathur MMDA,13.083620071411133,80.28251647949219,Evening bazaar,13.085633208926515,80.28226544253332,Convenience Store
88,Mathur MMDA,13.083620071411133,80.28251647949219,Chennai Central Station,13.082762183168839,80.27490112404834,Train Station
89,Mathur MMDA,13.083620071411133,80.28251647949219,Delhi Hotel,13.084731336414936,80.27610950407727,Hotel
90,Mathur MMDA,13.083620071411133,80.28251647949219,Hotel ShivaSagar,13.085350422131853,80.27541278256314,Indian Restaurant
91,Mathur MMDA,13.083620071411133,80.28251647949219,Chennai Central Station Platform 2A,13.085030398648122,80.27533657829953,Platform
92,Mathur MMDA,13.083620071411133,80.28251647949219,Central Bus Stand,13.081912004383135,80.27531480564019,Bus Station
93,Mathur MMDA,13.083620071411133,80.28251647949219,Chennai Central Platform No.2A,13.085103787192775,80.27514606734033,Platform
94,Mathur MMDA,13.083620071411133,80.28251647949219,Chennai - Bangalore Shatabdi,13.086080131586522,80.27528758980813,Moving Target
95,Mathur MMDA,13.083620071411133,80.28251647949219,Chennai Port,13.0854794158517,80.2900264027176,Harbor / Marina
96,Mathur MMDA,13.083620071411133,80.28251647949219,Chennai Central Platform # 1,13.084625262065519,80.27478137373647,Platform
97,Mathur MMDA,13.083620071411133,80.28251647949219,City Tower Hotel Chennai,13.081502797863267,80.27501543100615,Hotel
98,Mathur MMDA,13.083620071411133,80.28251647949219,Chennai Park Town MRTS,13.07957900937133,80.27548354360363,Train Station
