,Neighborhood,City,Latitude,Longitude
0,Adarsh Nagar,Delhi,28.720340728759766,77.17266082763672
1,Ashok Vihar,Delhi,28.690420150756836,77.17606353759766
2,Azadpur,Delhi,28.712419509887695,77.17311096191406
3,Bawana,Delhi,28.79766082763672,77.04525756835938
4,Begum Pur,Delhi,28.73259925842285,77.05216979980469
5,Dhaka,Delhi,28.70857048034668,77.2057113647461
6,Jahangirpuri,Delhi,28.728759765625,77.1756362915039
7,Karala,Delhi,28.7373104095459,77.03955841064453
8,Keshav Puram,Delhi,28.68800926208496,77.15866088867188
9,Kingsway Camp,Delhi,28.71169090270996,77.2020492553711
10,Kohat Enclave,Delhi,28.69655990600586,77.13896179199219
11,Model Town,Delhi,28.718000411987305,77.19159698486328
12,Narela,Delhi,28.83976936340332,77.0769271850586
13,Pitam Pura,Delhi,28.695890426635742,77.13726043701172
14,Rani Bagh,Delhi,28.685720443725586,77.13191986083984
15,Rithala,Delhi,28.719440460205078,77.10150909423828
16,Rohini Sub City,Delhi,28.642963409423828,77.11587524414062
17,Shalimar Bagh,Delhi,28.714229583740234,77.1574478149414
18,Shakti Nagar,Delhi,28.67531967163086,77.16210174560547
19,Bara Hindu Rao,Delhi,28.661100387573242,77.20442199707031
20,Chandni Chowk,Delhi,28.656240463256836,77.23233032226562
21,Chawri Bazaar,Delhi,28.6485595703125,77.23068237304688
22,Civil Lines,Delhi,28.67668914794922,77.21762084960938
23,Dariba Kalan,Delhi,28.656131744384766,77.23355865478516
24,Ghantewala,Delhi,28.642963409423828,77.11587524414062
25,Gulabi Bagh,Delhi,28.67544937133789,77.18866729736328
26,Kamla Nagar,Delhi,28.68376922607422,77.20162200927734
27,Kashmiri Gate,Delhi,28.642963409423828,77.11587524414062
28,Kotwali,Delhi,28.59859,77.1269
29,Lahori Gate,Delhi,28.656179428100586,77.23837280273438
30,Nehru Vihar,Delhi,28.7114200592041,77.22257232666016
31,Paharganj,Delhi,28.645959854125977,77.21492767333984
32,Pratap Nagar,Delhi,28.669750213623047,77.19573974609375
33,Pul Bangash,Delhi,28.657367706298828,77.21861267089844
34,Roshanara Bagh,Delhi,28.671550750732422,77.20047760009766
35,Sadar Bazaar,Delhi,28.66582,77.29834
36,Sangam Vihar,Delhi,28.49802017211914,77.24305725097656
37,Sant Nagar,Delhi,28.6541805267334,77.1892318725586
38,Sarai Kale Khan,Delhi,28.58485984802246,77.26355743408203
39,Sarai Rohilla,Delhi,28.665830612182617,77.18480682373047
40,Shakti Nagar,Delhi,28.67531967163086,77.16210174560547
41,Shastri Nagar,Delhi,28.647520065307617,77.27082061767578
42,Tees Hazari,Delhi,28.642963409423828,77.11587524414062
43,Timarpur,Delhi,28.700700759887695,77.22113800048828
44,Wazirabad,Delhi,28.73280906677246,77.2243881225586
45,Babarpur,Delhi,28.68773078918457,77.28044128417969
46,Dilshad Garden,Delhi,28.679040908813477,77.31475830078125
47,Kabir Nagar,Delhi,28.642963409423828,77.11587524414062
48,Mandoli,Delhi,28.70672035217285,77.31271362304688
49,Maujpur,Delhi,28.642963409423828,77.11587524414062
50,Nand Nagri,Delhi,28.69668960571289,77.30387878417969
51,Naveen Shahdara,Delhi,28.673690795898438,77.28325653076172
52,New Usmanpur,Delhi,28.6824893951416,77.25650024414062
53,Sadatpur,Delhi,28.642963409423828,77.11587524414062
54,Shahdara,Delhi,28.689590454101562,77.27802276611328
55,Sonia Vihar,Delhi,28.729209899902344,77.24559020996094
56,Shastri Park,Delhi,28.670059204101562,77.25174713134766
57,Yamuna Vihar,Delhi,28.700580596923828,77.2721176147461
58,Chandni Chowk,Delhi,28.656240463256836,77.23233032226562
59,Daryaganj,Delhi,28.64613914489746,77.24359893798828
60,Jhandewalan,Delhi,28.647260665893555,77.20319366455078
61,Karol Bagh,Delhi,28.650449752807617,77.18872833251953
62,Bara Hindu Rao,Delhi,28.661100387573242,77.20442199707031
63,Paharganj,Delhi,28.645959854125977,77.21492767333984
64,Rajender Nagar,Delhi,28.634700775146484,77.18246459960938
65,Sadar Bazaar,Delhi,28.66582,77.29834
66,Barakhamba Road,Delhi,28.62861,77.22694
67,Chanakyapuri,Delhi,28.595060348510742,77.18573760986328
68,Connaught Place,Delhi,28.633960723876953,77.21978759765625
69,Gautampuri,Delhi,28.683982849121094,77.26514434814453
70,Gole Market,Delhi,28.63408088684082,77.20575714111328
71,Golf Links,Delhi,28.596525192260742,77.2306900024414
72,INA Colony,Delhi,28.5748291015625,77.21116638183594
73,Khan Market,Delhi,28.600276947021484,77.226806640625
74,Laxmibai Nagar,Delhi,28.578109741210938,77.20625305175781
75,Pragati Maidan,Delhi,28.617141723632812,77.24369049072266
76,Brij Puri,Delhi,28.705150604248047,77.2724380493164
77,East Vinod Nagar,Delhi,28.66750717163086,77.12125396728516
78,Gandhi Nagar,Delhi,28.724510192871094,77.20777130126953
79,Geeta Colony,Delhi,28.653230667114258,77.2713623046875
80,Jhilmil Colony,Delhi,28.66967010498047,77.3095474243164
81,Krishna Nagar,Delhi,28.655420303344727,77.28337097167969
82,Laxmi Nagar,Delhi,28.638750076293945,77.27591705322266
83,Mayur Vihar,Delhi,28.642963409423828,77.11587524414062
84,Pandav Nagar,Delhi,28.614580154418945,77.27574157714844
85,Patparganj,Delhi,28.629459381103516,77.30744934082031
86,Preet Vihar,Delhi,28.63905906677246,77.2959213256836
87,Anand Vihar,Delhi,28.653560638427734,77.31372833251953
88,Shakarpur,Delhi,28.62714958190918,77.27940368652344
89,Shastri Nagar,Delhi,28.647520065307617,77.27082061767578
90,Silampur,Delhi,28.67011070251465,77.2712173461914
91,Vasundhara Enclave,Delhi,28.600139617919922,77.31665802001953
92,Vishwas Nagar,Delhi,28.665119171142578,77.29429626464844
93,Vivek Vihar,Delhi,28.668710708618164,77.31891632080078
94,Shahdara,Delhi,28.689590454101562,77.27802276611328
95,Alaknanda,Delhi,28.525680541992188,77.25324249267578
96,Chhattarpur,Delhi,28.492780685424805,77.17054748535156
97,Chittaranjan Park,Delhi,28.538410186767578,77.24830627441406
98,Dayanand Colony,Delhi,28.474729537963867,77.01931762695312
99,Defence Colony,Delhi,28.572999954223633,77.23359680175781
100,East of Kailash,Delhi,28.556310653686523,77.24903869628906
101,Friends Colony,Delhi,28.6794490814209,77.03755187988281
102,Govindpuri,Delhi,28.53506088256836,77.26509094238281
103,Greater Kailash,Delhi,28.548490524291992,77.2366714477539
104,Green Park,Delhi,28.558950424194336,77.20462799072266
105,Gulmohar Park,Delhi,28.556289672851562,77.21331787109375
106,Hauz Khas,Delhi,28.551090240478516,77.2040023803711
107,Hauz Khas Village,Delhi,28.55384635925293,77.20524597167969
108,Jaitpur,Delhi,28.502309799194336,77.32962799072266
109,Jamroodpur Village,Delhi,28.642963409423828,77.11587524414062
110,Jangpura,Delhi,28.583370208740234,77.24713897705078
111,Jasola,Delhi,28.540590286254883,77.29678344726562
112,Jor Bagh,Delhi,28.582380294799805,77.21404266357422
113,Kailash Colony,Delhi,28.556089401245117,77.24060821533203
114,Kalkaji,Delhi,28.53660011291504,77.26094818115234
115,Khanpur,Delhi,28.50959014892578,77.23098754882812
116,Khirki Village,Delhi,28.53279,77.21902
117,Kotla Mubarakpur,Delhi,28.574390411376953,77.22419738769531
118,Lajpat Nagar,Delhi,28.570280075073242,77.24698638916016
119,Lodi Colony,Delhi,28.69992,77.29931
120,Maharani Bagh,Delhi,28.572229385375977,77.2635726928711
121,Malviya Nagar,Delhi,28.533939361572266,77.20702362060547
122,Mehrauli,Delhi,28.52092933654785,77.18010711669922
123,Neeti Bagh,Delhi,28.559043884277344,77.21580505371094
124,Nehru Place,Delhi,28.600749969482422,77.29248046875
125,Netaji Nagar,Delhi,28.577470779418945,77.1851577758789
126,New Friends Colony,Delhi,28.577970504760742,77.27033996582031
127,Nizamuddin West,Delhi,28.58300018310547,77.25
128,Okhla,Delhi,28.532489776611328,77.27838134765625
129,Pulpehaladpur,Delhi,28.498760223388672,77.29144287109375
130,Safdarjung Enclave,Delhi,28.56475067138672,77.19463348388672
131,Sainik Farm,Delhi,28.50550079345703,77.21418762207031
132,Saket,Delhi,28.524089813232422,77.20675659179688
133,Sangam Vihar,Delhi,28.49802017211914,77.24305725097656
134,Sarita Vihar,Delhi,28.55031967163086,77.28343200683594
135,Sarojini Nagar,Delhi,28.575700759887695,77.19361877441406
136,Sarvodaya Enclave,Delhi,28.538179397583008,77.20076751708984
137,Shahpur Jat,Delhi,28.548580169677734,77.21395111083984
