,Neighborhood,City,Latitude,Longitude
0,Kalyani Municipality,Kolkata,22.570539474487305,88.3712387084961
1,Gayespur Municipality,Kolkata,22.570539474487305,88.3712387084961
2,Kanchrapara Municipality,Kolkata,22.951059341430664,88.43102264404297
3,Halisahar Municipality,Kolkata,22.570539474487305,88.3712387084961
4,Naihati Municipality,Kolkata,22.89575958251953,88.42875671386719
5,Bhatpara Municipality,Kolkata,22.871379852294922,88.40583801269531
6,Garulia Municipality,Kolkata,22.822790145874023,88.37026977539062
7,North Barrackpur Municipality,Kolkata,22.570539474487305,88.3712387084961
8,Barrackpore Municipality,Kolkata,22.570539474487305,88.3712387084961
9,Titagarh Municipality,Kolkata,22.570539474487305,88.3712387084961
10,Khardaha Municipality,Kolkata,22.719430923461914,88.37181091308594
11,Panihati Municipality,Kolkata,22.570539474487305,88.3712387084961
12,New Barrackpore Municipality,Kolkata,22.686460494995117,88.44184875488281
13,Barasat Municipality,Kolkata,22.570539474487305,88.3712387084961
14,Madhyamgram Municipality,Kolkata,22.69442,88.45412
15,North Dumdum Municipality,Kolkata,22.640302658081055,88.40631103515625
16,Dum Dum Municipality,Kolkata,22.570539474487305,88.3712387084961
17,South Dumdum Municipality,Kolkata,22.594289779663086,88.39456176757812
18,Kamarhati Municipality,Kolkata,22.570539474487305,88.3712387084961
19,Baranagar Municipality,Kolkata,22.570539474487305,88.3712387084961
20,Rajarhat Gopalpur Municipality,Kolkata,22.63179,88.44972
21,Bidhannagar Municipal Corporation,Kolkata,22.637470245361328,88.45429992675781
22,Maheshtala Municipality,Kolkata,22.570539474487305,88.3712387084961
23,Budge Budge Municipality,Kolkata,22.488300323486328,88.1895980834961
24,Pujali Municipality,Kolkata,22.460100173950195,88.13400268554688
25,Rajpur Sonarpur Municipality,Kolkata,22.570539474487305,88.3712387084961
26,Baruipur Municipality,Kolkata,22.570539474487305,88.3712387084961
27,Jaynagar Majilpur Municipality,Kolkata,22.570539474487305,88.3712387084961
28,Chandannagar Municipal Corporation,Kolkata,22.570539474487305,88.3712387084961
29,Bhadreswar Municipality,Kolkata,22.570539474487305,88.3712387084961
30,Champdani Municipality,Kolkata,22.570539474487305,88.3712387084961
31,Hugli-Chuchura Municipality,Kolkata,22.90353012084961,88.38260650634766
32,Bansberia Municipality,Kolkata,22.570539474487305,88.3712387084961
33,Baidyabati Municipality,Kolkata,22.570539474487305,88.3712387084961
34,Serampore Municipality,Kolkata,22.570539474487305,88.3712387084961
35,Rishra Municipality,Kolkata,22.725370407104492,88.35279846191406
36,Konnagar Municipality,Kolkata,22.702220916748047,88.33766174316406
37,Uttarpara Kotrung Municipality,Kolkata,22.680789947509766,88.34335327148438
38,Dankuni Municipality,Kolkata,22.570539474487305,88.3712387084961
39,Howrah Municipal Corporation,Kolkata,22.570539474487305,88.3712387084961
40,Bally Municipality,Kolkata,22.570539474487305,88.3712387084961
41,Uluberia Municipality,Kolkata,22.4681396484375,88.09342956542969
42,Kolkata Municipal Corporation,Kolkata,22.55561,88.36573
