,Neighborhood,City,Latitude,Longitude
0,Amboli,Mumbai,19.129060745239258,72.84645080566406
1,Chakala,Mumbai,19.108360290527344,72.86234283447266
2,D.N. Nagar,Mumbai,19.12408447265625,72.83137512207031
3,Four Bungalows,Mumbai,19.126300811767578,72.8243179321289
4,JB Nagar,Mumbai,19.105770111083984,72.86409759521484
5,Lokhandwala,Mumbai,19.143150329589844,72.82486724853516
6,Marol,Mumbai,19.119140625,72.88282012939453
7,Model Town,Mumbai,19.133209228515625,72.82318878173828
8,Oshiwara,Mumbai,19.1483097076416,72.8364028930664
9,Poonam Nagar,Mumbai,19.13705062866211,72.86882781982422
10,Sahar,Mumbai,19.097000122070312,72.8655014038086
11,Saki Naka,Mumbai,19.103649139404297,72.88240051269531
12,Seven Bungalows,Mumbai,19.129051208496094,72.8170166015625
13,Versova,Mumbai,19.13799476623535,72.79135131835938
14,Bandra Kurla Complex,Mumbai,19.062070846557617,72.86849212646484
15,Bandstand Promenade,Mumbai,19.04578971862793,72.81951904296875
16,Gandhi Nagar,Mumbai,19.124479293823242,72.92529296875
17,Kherwadi,Mumbai,19.059480667114258,72.84551239013672
18,Land's End,Mumbai,19.04393,72.82048
19,Pali Hill,Mumbai,19.067720413208008,72.8252182006836
20,Bandra Reclamation,Mumbai,19.051069259643555,72.83281707763672
21,I.C. Colony,Mumbai,19.249170303344727,72.85022735595703
22,L.I.C. Colony aka Jeevan Bhima Nagar,Mumbai,19.11284065246582,72.87117004394531
23,Eksar Colony,Mumbai,18.940170288085938,72.8348617553711
24,Shimpoli,Mumbai,19.222679138183594,72.84327697753906
25,Gorai,Mumbai,19.24095916748047,72.78418731689453
26,Kora Kendra,Mumbai,19.22051,72.85097
27,Vazira Naka,Mumbai,19.2268009185791,72.84461212158203
28,Babhai,Mumbai,18.940170288085938,72.8348617553711
29,Chikuwadi,Mumbai,19.189260482788086,72.8047866821289
30,Yogi Nagar,Mumbai,19.23505973815918,72.84161376953125
31,Magathane,Mumbai,19.21833038330078,72.86486053466797
