,Village,Village Latitude,Village Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Summary,Venue Type
0,Adarsh Nagar,28.72034072875977,77.17266082763672,Giani's,28.71790025283731,77.17390684948072,Ice Cream Shop,This spot is popular,general
1,Adarsh Nagar,28.72034072875977,77.17266082763672,Axis Bank ATM,28.723031997681,77.170631408691,ATM,This spot is popular,general
2,Adarsh Nagar,28.72034072875977,77.17266082763672,Adarsh Nagar Metro Station,28.716598094266047,77.17043638229369,Light Rail Station,This spot is popular,general
3,Adarsh Nagar,28.72034072875977,77.17266082763672,Vishyavidyalaya Metro Station@Entry gate #1 n Platform # 2(Towards Jahangir puri),28.71559631525242,77.17098080102352,Train Station,This spot is popular,general
4,Adarsh Nagar,28.72034072875977,77.17266082763672,Pahalwan Dhaba,28.714593917113216,77.17215459878749,Indian Restaurant,This spot is popular,general
5,Adarsh Nagar,28.72034072875977,77.17266082763672,Sargam Electronics,28.72811439973256,77.16826915740967,Electronics Store,This spot is popular,general
6,Ashok Vihar,28.69042015075684,77.17606353759766,Bellagio,28.696361101018056,77.18002105017133,Asian Restaurant,This spot is popular,general
7,Ashok Vihar,28.69042015075684,77.17606353759766,Subway,28.69632063168931,77.17998336484409,Sandwich Place,This spot is popular,general
8,Ashok Vihar,28.69042015075684,77.17606353759766,Domino's Pizza,28.693,77.177,Pizza Place,This spot is popular,general
9,Ashok Vihar,28.69042015075684,77.17606353759766,Subway.,28.695571296469403,77.17196364683056,Sandwich Place,This spot is popular,general
10,Ashok Vihar,28.69042015075684,77.17606353759766,Rahul Egg Corner,28.688240410906264,77.16859947234954,Snack Place,This spot is popular,general
11,Ashok Vihar,28.69042015075684,77.17606353759766,Sagar Ratna | सागर रतना,28.693381067058812,77.17797666086976,South Indian Restaurant,This spot is popular,general
12,Ashok Vihar,28.69042015075684,77.17606353759766,Invitation Restaurant,28.696181557447208,77.17928699622868,Indian Restaurant,This spot is popular,general
13,Ashok Vihar,28.69042015075684,77.17606353759766,J Block Murga Market,28.687143857204767,77.17303504746471,Market,This spot is popular,general
14,Ashok Vihar,28.69042015075684,77.17606353759766,Giani,28.69269894997536,77.17119421966083,Dessert Shop,This spot is popular,general
15,Ashok Vihar,28.69042015075684,77.17606353759766,Cafe Coffee Day,28.69610288506766,77.17994405382133,Coffee Shop,This spot is popular,general
16,Ashok Vihar,28.69042015075684,77.17606353759766,Mall TVR,28.69603043725759,77.17941616168353,Department Store,This spot is popular,general
17,Azadpur,28.71241950988769,77.17311096191406,Vishyavidyalaya Metro Station@Entry gate #1 n Platform # 2(Towards Jahangir puri),28.71559631525242,77.17098080102352,Train Station,This spot is popular,general
18,Azadpur,28.71241950988769,77.17311096191406,"Giani's, Shalimar Bagh, Delhi",28.70914193831489,77.16942507990863,Ice Cream Shop,This spot is popular,general
19,Azadpur,28.71241950988769,77.17311096191406,Adarsh Nagar Metro Station,28.716598094266047,77.17043638229369,Light Rail Station,This spot is popular,general
20,Azadpur,28.71241950988769,77.17311096191406,Azadpur,28.70866887677249,77.17910167163504,Bus Station,This spot is popular,general
21,Azadpur,28.71241950988769,77.17311096191406,Rameshwar Nagar Park,28.71149154940595,77.18149402143138,Park,This spot is popular,general
22,Azadpur,28.71241950988769,77.17311096191406,Tulip Banquet,28.704523114843575,77.17244102614772,Restaurant,This spot is popular,general
23,Bawana,28.79766082763672,77.04525756835938,Inspire Gears,28.800622896008772,77.04971551895142,Accessories Store,This spot is popular,general
24,Bawana,28.79766082763672,77.04525756835938,Fly Ash Supplier,28.805722250578036,77.04545617103577,Business Service,This spot is popular,general
25,Begum Pur,28.73259925842285,77.05216979980469,Greenshores India Holidays,28.735565450805144,77.04831004142761,Tourist Information Center,This spot is popular,general
26,Begum Pur,28.73259925842285,77.05216979980469,Axis Bank ATM,28.72995,77.04571,ATM,This spot is popular,general
27,Dhaka,28.70857048034668,77.2057113647461,cafe coffee day,28.70048819308643,77.2080945968628,Coffee Shop,This spot is popular,general
28,Dhaka,28.70857048034668,77.2057113647461,Gtb Nagar Railway Station,28.707183121238955,77.20675676115992,Train Station,This spot is popular,general
29,Dhaka,28.70857048034668,77.2057113647461,AIM cafe,28.7011367255292,77.20903320085691,Café,This spot is popular,general
30,Dhaka,28.70857048034668,77.2057113647461,Korean restaurant,28.701080427580862,77.20902503434961,Korean Restaurant,This spot is popular,general
31,Jahangirpuri,28.728759765625,77.1756362915039,Dell service center in delhi,28.73511388707396,77.17135906219482,Electronics Store,This spot is popular,general
32,Jahangirpuri,28.728759765625,77.1756362915039,Balsawa Golf Course,28.73330380350909,77.18358307619556,Golf Course,This spot is popular,general
33,Jahangirpuri,28.728759765625,77.1756362915039,Kake ka Dhaba,28.71993,77.17416,Vegetarian / Vegan Restaurant,This spot is popular,general
34,Karala,28.7373104095459,77.03955841064453,Greenshores India Holidays,28.735565450805144,77.04831004142761,Tourist Information Center,This spot is popular,general
35,Keshav Puram,28.68800926208496,77.15866088867188,Major Dhyan Chand Sports Complex,28.684029298330163,77.16748742045543,Athletics & Sports,This spot is popular,general
36,Keshav Puram,28.68800926208496,77.15866088867188,Pind Balluchi | पिंड बलूची,28.693736141214828,77.15118241014085,Indian Restaurant,This spot is popular,general
37,Keshav Puram,28.68800926208496,77.15866088867188,Barbeque Nation,28.692375080400684,77.15155307645381,Diner,This spot is popular,general
38,Keshav Puram,28.68800926208496,77.15866088867188,Starbucks Coffee | स्टारबक्स,28.69321742276918,77.1519820248159,Coffee Shop,This spot is popular,general
39,Keshav Puram,28.68800926208496,77.15866088867188,Kake Di Hatti | काके दी हट्टी,28.692933118144015,77.15277141175852,Indian Restaurant,This spot is popular,general
40,Keshav Puram,28.68800926208496,77.15866088867188,Rahul Egg Corner,28.688240410906264,77.16859947234954,Snack Place,This spot is popular,general
41,Keshav Puram,28.68800926208496,77.15866088867188,McDonald's,28.692449639202426,77.15280511461941,Fast Food Restaurant,This spot is popular,general
42,Keshav Puram,28.68800926208496,77.15866088867188,Domino's Pizza,28.693,77.151,Pizza Place,This spot is popular,general
43,Keshav Puram,28.68800926208496,77.15866088867188,Haldiram,28.69293615099474,77.15287813742106,Indian Restaurant,This spot is popular,general
