,Village,Village Latitude,Village Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Agartoli,23.376190185546875,85.43927764892578,Radisson Blu Hotel Ranchi,23.35146348398378,85.32433301210403,Hotel
1,Agartoli,23.376190185546875,85.43927764892578,Kaveri,23.3580377501143,85.32503349521737,Indian Restaurant
2,Agartoli,23.376190185546875,85.43927764892578,"Fun Cinema, Ranchi",23.3335764728848,85.31929282543678,Multiplex
3,Agartoli,23.376190185546875,85.43927764892578,GEL Church Complex,23.357995470516006,85.32481103817312,Shopping Mall
4,Agartoli,23.376190185546875,85.43927764892578,JSCA International Stadium Complex,23.310397965140343,85.27495782117664,Stadium
5,Agartoli,23.376190185546875,85.43927764892578,Domino's Pizza,23.35915860844852,85.32557487487793,Pizza Place
6,Agartoli,23.376190185546875,85.43927764892578,JD Hi Street Mall,23.35790298922666,85.32465771519264,Shopping Mall
7,Agartoli,23.376190185546875,85.43927764892578,"The Great Kabab Factory,Radisson Blu",23.35141669626217,85.32433032989502,Indian Restaurant
8,Agartoli,23.376190185546875,85.43927764892578,Cafe Coffee Day,23.35953534811086,85.3254136477807,Café
9,Agartoli,23.376190185546875,85.43927764892578,Hotel Chanakya BNR,23.350351700782948,85.33382505477717,Hotel Bar
10,Agartoli,23.376190185546875,85.43927764892578,KFC,23.354085440356737,85.33287155675063,Fast Food Restaurant
11,Agartoli,23.376190185546875,85.43927764892578,Hot and Cold,23.411074865453628,85.44116735458374,Coffee Shop
12,Agartoli,23.376190185546875,85.43927764892578,Sharma Dhaba,23.42362900797229,85.43835076011172,Coffee Shop
13,Agartoli,23.376190185546875,85.43927764892578,Reliance Mart,23.396301502557755,85.31420487446655,Department Store
14,Agartoli,23.376190185546875,85.43927764892578,Hatia Railway Station,23.309754476257524,85.30840584304235,Train Station
15,Angara,23.376190185546875,85.43927764892578,Radisson Blu Hotel Ranchi,23.35146348398378,85.32433301210403,Hotel
16,Angara,23.376190185546875,85.43927764892578,Kaveri,23.3580377501143,85.32503349521737,Indian Restaurant
17,Angara,23.376190185546875,85.43927764892578,"Fun Cinema, Ranchi",23.3335764728848,85.31929282543678,Multiplex
18,Angara,23.376190185546875,85.43927764892578,GEL Church Complex,23.357995470516006,85.32481103817312,Shopping Mall
19,Angara,23.376190185546875,85.43927764892578,JSCA International Stadium Complex,23.310397965140343,85.27495782117664,Stadium
20,Angara,23.376190185546875,85.43927764892578,Domino's Pizza,23.35915860844852,85.32557487487793,Pizza Place
21,Angara,23.376190185546875,85.43927764892578,JD Hi Street Mall,23.35790298922666,85.32465771519264,Shopping Mall
22,Angara,23.376190185546875,85.43927764892578,"The Great Kabab Factory,Radisson Blu",23.35141669626217,85.32433032989502,Indian Restaurant
23,Angara,23.376190185546875,85.43927764892578,Cafe Coffee Day,23.35953534811086,85.3254136477807,Café
24,Angara,23.376190185546875,85.43927764892578,Hotel Chanakya BNR,23.350351700782948,85.33382505477717,Hotel Bar
25,Angara,23.376190185546875,85.43927764892578,KFC,23.354085440356737,85.33287155675063,Fast Food Restaurant
26,Angara,23.376190185546875,85.43927764892578,Hot and Cold,23.411074865453628,85.44116735458374,Coffee Shop
27,Angara,23.376190185546875,85.43927764892578,Sharma Dhaba,23.42362900797229,85.43835076011172,Coffee Shop
28,Angara,23.376190185546875,85.43927764892578,Reliance Mart,23.396301502557755,85.31420487446655,Department Store
29,Angara,23.376190185546875,85.43927764892578,Hatia Railway Station,23.309754476257524,85.30840584304235,Train Station
30,Asri,23.35721015930176,85.66690063476562,Swarnrekha,23.522962,85.70367,Dhaba
31,Asri,23.35721015930176,85.66690063476562,Muri Railway Station,23.376722038171216,85.86697726242322,Platform
32,Asri,23.35721015930176,85.66690063476562,Muri,23.376867,85.867236,Light Rail Station
33,Asri,23.35721015930176,85.66690063476562,HDFC Bank,23.536451,85.720508,ATM
34,Asri,23.35721015930176,85.66690063476562,Hotel Panchwati,23.19220542907715,85.55433654785156,Fast Food Restaurant
35,Badri,23.43267059326172,85.63327026367188,Madhuvan,23.465309555495054,85.4605297398562,Restaurant
36,Badri,23.43267059326172,85.63327026367188,Canteen,23.41284706430992,85.44221878051758,Food Court
37,Badri,23.43267059326172,85.63327026367188,Hot and Cold,23.411074865453628,85.44116735458374,Coffee Shop
38,Badri,23.43267059326172,85.63327026367188,Sharma Dhaba,23.42362900797229,85.43835076011172,Coffee Shop
39,Badri,23.43267059326172,85.63327026367188,Hostel IV,23.416174795809084,85.43749809265137,Fraternity House
40,Baheya,23.370399475097656,85.48793029785156,Radisson Blu Hotel Ranchi,23.35146348398378,85.32433301210403,Hotel
41,Baheya,23.370399475097656,85.48793029785156,Kaveri,23.3580377501143,85.32503349521737,Indian Restaurant
