,Village,Block,District
0,Ara (CT),Namkum,Ranchi
1,Arma,Namkum,Ranchi
2,Banda,Namkum,Ranchi
3,Bandua,Namkum,Ranchi
4,Baram,Namkum,Ranchi
5,Bargarwa (CT),Namkum,Ranchi
6,Barguttu,Namkum,Ranchi
7,Bumru,Namkum,Ranchi
8,Bundubera,Namkum,Ranchi
9,Butiyo,Namkum,Ranchi
10,Chand,Namkum,Ranchi
11,Chandaghasi,Namkum,Ranchi
12,Chene,Namkum,Ranchi
13,Chitir,Namkum,Ranchi
14,Churu,Namkum,Ranchi
15,Darjitorar,Namkum,Ranchi
16,Dewgain,Namkum,Ranchi
17,Dundigarha,Namkum,Ranchi
18,Dundu,Namkum,Ranchi
19,Dungri,Namkum,Ranchi
20,Ganrke,Namkum,Ranchi
21,Garhkhatanga,Namkum,Ranchi
22,Garsul,Namkum,Ranchi
23,Ghuthiya,Namkum,Ranchi
24,Gobindpur,Namkum,Ranchi
25,Gundu,Namkum,Ranchi
26,Guniyadih,Namkum,Ranchi
27,Hahap,Namkum,Ranchi
28,Hajam,Namkum,Ranchi
29,Haratu,Namkum,Ranchi
30,Harbul,Namkum,Ranchi
31,Hardag,Namkum,Ranchi
32,Harhap,Namkum,Ranchi
33,Hatia,Namkum,Ranchi
34,Heslatoli,Namkum,Ranchi
35,Hethdahu,Namkum,Ranchi
36,Hethu,Namkum,Ranchi
37,Hoenjan,Namkum,Ranchi
38,Huanghatu,Namkum,Ranchi
39,Huringdag,Namkum,Ranchi
40,Hurua,Namkum,Ranchi
41,Huthundu,Namkum,Ranchi
42,Ithe,Namkum,Ranchi
43,Jamchuan,Namkum,Ranchi
44,Jamgain,Namkum,Ranchi
45,Jaratoli,Namkum,Ranchi
46,Jareya,Namkum,Ranchi
47,Jojosiring,Namkum,Ranchi
48,Jorar(Todar),Namkum,Ranchi
49,Jordag,Namkum,Ranchi
50,Kachbang,Namkum,Ranchi
51,Kakra,Namkum,Ranchi
52,Karkata,Namkum,Ranchi
53,Kewali,Namkum,Ranchi
54,Kharsidag,Namkum,Ranchi
55,Khijri,Namkum,Ranchi
56,Kiski,Namkum,Ranchi
57,Koenribera,Namkum,Ranchi
58,Kolad,Namkum,Ranchi
59,Kudagara,Namkum,Ranchi
60,Kute Toli,Namkum,Ranchi
61,Kutiatu,Namkum,Ranchi
62,Lali,Namkum,Ranchi
63,Lalkhatanga,Namkum,Ranchi
64,Lodhma,Namkum,Ranchi
65,Mahilong,Namkum,Ranchi
